Cloud,Vmware stack ,VMware Cloud Technical specialist,,Virtualization ,understand the basics (Gareth intro) ,knowledge based on Vmware Vsphere ICM training ,VCP (knowledge and certifications/contract) ,"knows the difference between Virtualization Hypervisors (Vmware, Hyper V, OpenStack) ",,,,,,,,,,,,
E2E Operations,EUS,UCC Operations,Cisco,Cisco UCM,NA,"Basic knowledge of Cisco UCM, VoIP, Call routing and network. Ticket (requests and monitoring tickets) handling according operational instructions.","Intermediate knowledge of Cisco UCM, VoIP, Call routing and network. Basic knowledge of PowerSchell. Independend ticket handling (L2, L3 level). Change implementation.","Advanced knowledge of Cisco UCM, VoIP, Call routing and network. Incident management (L3 level), Problem management, Change design and implementation. Standard onboarding project participation.","Expert knowledge of Cisco UCM, VoIP, Call routing and network. Problem management, Change designs. Technical lead in standard onboarding projects.","Expert knowledge of Cisco UCM, VoIP, Call routing and network. Technical lead in standard onboarding projects. Participation in Product design phase.","Expert knowledge of Cisco UCM, VoIP, Call routing and network. Technical lead in standard onboarding projects. Active Product design participation. Customer consultancy. Help with RFI, RFP and DD.","Expert knowledge of Cisco UCM, VoIP, Call routing and network. Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI, RFP and DD.",,,,,,,,
E2E Operations,EUS,UCC Operations,Cisco,Cisco VGW,NA,"Basic knowledge of Cisco GW, VoIP, Call routing and network. Ticket (requests and monitoring tickets) handling according operational instructions.","Intermediate knowledge  of Cisco GW, VoIP, Call routing and network. Basic knowledge of PowerSchell. Independend ticket handling (L2, L3 level). Change implementation.","Advanced knowledge of Cisco GW, VoIP, Call routing and network. Incident management (L3 level), Problem management, Change design and implementation. Standard onboarding project participation.","Expert knowledge  of Cisco GW, VoIP, Call routing and network. Problem management, Change designs. Technical lead in standard onboarding projects.","Expert knowledge  of Cisco GW, VoIP, Call routing and network. Technical lead in standard onboarding projects. Participation in Product design phase.","Expert knowledge of Cisco GW, VoIP, Call routing and network. Technical lead in standard onboarding projects. Active Product design participation. Customer consultancy. Help with RFI, RFP and DD.","Expert knowledge of Cisco GW, VoIP, Call routing and network. Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI, RFP and DD.",,,,,,,,
E2E Operations,EUS,UCC Operations,Audiocodes,Session Border Controler,NA,"Basic knowledge of Audiocodes Mediant SBC, VoIP, Call routing and network. Ticket (requests and monitoring tickets) handling according operational instructions.","Intermediate knowledge  of Audiocodes Mediant SBC, VoIP, Call routing and network. Basic knowledge of PowerSchell. Independend ticket handling (L2, L3 level). Change implementation.","Advanced knowledge of Audiocodes Mediant SBC, VoIP, Call routing and network. Incident management (L3 level), Problem management, Change design and implementation. Standard onboarding project participation.","Expert knowledge  of Audiocodes Mediant SBC, VoIP, Call routing and network. Problem management, Change designs. Technical lead in standard onboarding projects.","Expert knowledge  of Audiocodes Mediant SBC, VoIP, Call routing and network. Technical lead in standard onboarding projects. Participation in Product design phase.","Expert knowledge of Audiocodes Mediant SBC, VoIP, Call routing and network. Technical lead in standard onboarding projects. Active Product design participation. Customer consultancy. Help with RFI, RFP and DD.","Expert knowledge of Audiocodes Mediant SBC, VoIP, Call routing and network. Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI, RFP and DD.",,,,,,,,
E2E Operations,EUS,UCC Operations,Voxbone,Global Access number,NA,"Basic knowledge of the product, VoIP, Call routing and network. Ticket (requests and monitoring tickets) handling according operational instructions.","Intermediate knowledge  of the product, VoIP, Call routing and network. Basic knowledge of PowerSchell. Independend ticket handling (L2, L3 level). Change implementation.","Advanced knowledge of the product, VoIP, Call routing and network. Incident management (L3 level), Problem management, Change design and implementation. Standard onboarding project participation.","Expert knowledge  of the product, VoIP, Call routing and network. Problem management, Change designs. Technical lead in standard onboarding projects.","Expert knowledge of the product, VoIP, Call routing and network. Technical lead in standard onboarding projects. Participation in Product design phase.","Expert knowledge of the product, VoIP, Call routing and network. Technical lead in standard onboarding projects. Active Product design participation. Customer consultancy. Help with RFI, RFP and DD.",NA,,,,,,,,
E2E Operations,EUS,UCC Operations,Praessler,PRTG Network  monitoring,NA,User knowledge of PRTG and monitored products. Understand what PRTG shows to be able handle tickets accordingly.,Intermediate knowledge of PRTG and monitored products. Active ussage of the tool (admin access). Root cause analyses. Historic data.,Advanced knowledge of PRTG and monitored products. Active ussage of the tool (admin access). Root cause analyses. Historic data. Adding new sensors and design dashboards.,Expert knowledge of PRTG and monitored products. Active ussage of the tool (admin access). Root cause analyses. Historic data. Adding new sensors and design dashboards. Installing/implementing new probes. PRTG backups and disaster recovery.,NA,NA,NA,,,,,,,,
Database & Midleware,Java Midleware ,Java Midleware technical specialist ,IBM ,,NA,User knowledge of IBM midleware technologies and monitored products. Understand what IBM midleware technologies shows to be able handle tickets accordingly.,Intermediate knowledge (working on his own) of IBM midleware technologies and monitored products. Active ussage of the technologies. Newhire specific technical training - link. ,"Expert knowledge of IBM midleware technologies and strong understanding of customers specific environment. Advanced knowledge of monitoring tools and its configuration. Advanced knowledge of IBM Midleware product. Problem management, Change designs. Participation in standard onboarding projects.","Technical Lead in particular technology with project leading backround. Scripting knowledge for automation.  Expert knowledge of IBM midleware technologies and strong understanding of customers specific environment. Advanced knowledge of monitoring tools and its configuration. Advanced knowledge of IBM Midleware product. Problem management, Change designs. Participation in standard onboarding projects and CAB meetings with customers. ",Expert knowledge of IBM midleware technologies and Linux platform. Advanced knowledge of scripting. Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.,"Expert knowledge of IBM midleware technologies. Advanced knowledge of scripting. Technical lead for non standard requests and customer projects. Product design. Presales consultancy. Help with RFI, RFP. ","Expert knowledge of IBM midleware technologies. Advanced knowledge of scripting. Technical lead for non standard requests and customer projects. Product design. Presales consultancy. Help with RFI, RFP. At least 7 years of experience. ",,,,,,,,
Database & Midleware,Java Midleware ,Java Midleware technical specialist ,Opensource,,NA,User knowledge of Opensource midleware technologies and monitored products. Understand what IBM midleware technologies shows to be able handle tickets accordingly.,Intermediate knowledge (working on his own) of Opensource midleware technologies and monitored products. Active ussage of the technologies. Newhire specific technical training - link. ,"Expert knowledge of Opensource midleware technologies and strong understanding of customers specific environment. Advanced knowledge of monitoring tools and its configuration. Advanced knowledge of IBM Midleware product. Problem management, Change designs. Participation in standard onboarding projects.","Technical Lead in particular technology with project leading backround. Scripting knowledge for automation.  Expert knowledge of IBM midleware technologies and strong understanding of customers specific environment. Advanced knowledge of monitoring tools and its configuration. Advanced knowledge of IBM Midleware product. Problem management, Change designs. Participation in standard onboarding projects and CAB meetings with customers. ",Expert knowledge of Opensource midleware technologies and Linux platform. Advanced knowledge of scripting. Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.,"Expert knowledge of Opensource midleware technologies. Advanced knowledge of scripting. Technical lead for non standard requests and customer projects. Product design. Presales consultancy. Help with RFI, RFP. ","Expert knowledge of Opensource midleware technologies. Advanced knowledge of scripting. Technical lead for non standard requests and customer projects. Product design. Presales consultancy. Help with RFI, RFP. At least 7 years of experience. ",,,,,,,,
Database & Midleware,Java Midleware ,Java Midleware technical specialist ,Oracle ,,NA,User knowledge of Oracle midleware technologies and monitored products. Understand what IBM midleware technologies shows to be able handle tickets accordingly.,Intermediate knowledge (working on his own) of Oracle midleware technologies and monitored products. Active ussage of the technologies. Newhire specific technical training - link. ,"Expert knowledge of Oracle midleware technologies and strong understanding of customers specific environment. Advanced knowledge of monitoring tools and its configuration. Advanced knowledge of IBM Midleware product. Problem management, Change designs. Participation in standard onboarding projects.","Technical Lead in particular technology with project leading backround. Scripting knowledge for automation.  Expert knowledge of IBM midleware technologies and strong understanding of customers specific environment. Advanced knowledge of monitoring tools and its configuration. Advanced knowledge of IBM Midleware product. Problem management, Change designs. Participation in standard onboarding projects and CAB meetings with customers. ",Expert knowledge of Oracle midleware technologies and Linux platform. Advanced knowledge of scripting. Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.,"Expert knowledge of Oracle midleware technologies. Advanced knowledge of scripting. Technical lead for non standard requests and customer projects. Product design. Presales consultancy. Help with RFI, RFP. ","Expert knowledge of Oracle midleware technologies. Advanced knowledge of scripting. Technical lead for non standard requests and customer projects. Product design. Presales consultancy. Help with RFI, RFP. At least 7 years of experience. ",,,,,,,,
Database & Midleware,Integrations ,Integration Technical Specialist ,IBM,,NA,User knowledge of IBM integrations technologies and monitored products. Understand what IBM integrations technologies shows to be able handle tickets accordingly.,Intermediate knowledge (working on his own) of IBM integrations technologies and monitored products. Active ussage of the technologies. Change implemation.�,"Expert knowledge of IBM integrations technologies and strong understanding of customers specific environment. Advanced knowledge of monitoring tools and its configuration. Advanced knowledge of IBM integrationproduct. Problem management, Change designs. Participation in standard onboarding projects and CAB meetings with customers. ","Technical Lead in particular technology with project leading backround. Programming knowledge (Python). Automation tools knowledge. Expert knowledge of IBM integrations technologies and strong understanding of customers specific environment. Advanced knowledge of monitoring tools and its configuration. Advanced knowledge of IBM integration product. Problem management, Change designs. Participation in standard onboarding projects and CAB meetings with customers. ",Expert knowledge of IBM integration technologies and Linux platform. Advanced knowledge of scripting. Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.,"Expert knowledge of IBM integration technologies. Advanced knowledge of scripting. Technical lead for non standard requests and customer projects. Product design. Presales consultancy. Help with RFI, RFP. ","Expert knowledge of IBM integration technologies. Advanced knowledge of scripting and programming. Technical lead for non standard requests and customer projects. Product design. Presales consultancy. Help with RFI, RFP. 10 years of experience. ",,,,,,,,
Database & Midleware,Integrations ,Integration Technical Specialist ,Opensource,,NA,User knowledge of Opensource integrations technologies and monitored products. Understand what Opensource integrations technologies shows to be able handle tickets accordingly.,"Intermediate knowledge (working on his own) of IBM integrations technologies and monitored products. Active ussage of the technologies. Certifications (IIB, MQ) ","Expert knowledge of Opensource integrations technologies and strong understanding of customers specifics environment. Advanced knowledge of Opensource integration product. Problem management, Change designs. Participation in standard onboarding projects and CAB meetings with customers. ","Technical Lead in particular technology with project leading backround. Programming knowledge (Python). Automation tools knowledge. Expert knowledge of Opensource integrations technologies and strong understanding of customers specific environment. Advanced knowledge of monitoring tools and its configuration. Advanced knowledge of Opensource integration product. Problem management, Change designs. Participation in standard onboarding projects and CAB meetings with customers. ",Expert knowledge of Opensource integration technologies and Linux platform. Advanced knowledge of scripting. Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.,"Expert knowledge of Opensource integration technologies. Advanced knowledge of scripting. Technical lead for non standard requests and customer projects. Product design. Presales consultancy. Help with RFI, RFP. ","Expert knowledge of IBM integration technologies. Advanced knowledge of scripting and programming. Technical lead for non standard requests and customer projects. Product design. Presales consultancy. Help with RFI, RFP. 10 years of experience. ",,,,,,,,
Database & Midleware,Integrations ,Integration Technical Specialist ,Microsoft,,NA,User knowledge of MS integrations technologies and monitored products. Understand what MSintegrations technologies shows to be able handle tickets accordingly.,"Intermediate knowledge (working on his own) of IBM integrations technologies and monitored products. Active ussage of the technologies. Certifications (IIB, MQ) ","Expert knowledge of Microsoft integrations technologies and strong understanding of customers specifics environment. Advanced knowledge of Microsoft integration product. Problem management, Change designs. Participation in standard onboarding projects and CAB meetings with customers. ","Technical Lead in particular technology with project leading backround. Programming knowledge (Python). Automation tools knowledge. Expert knowledge of Microsoft integrations technologies and strong understanding of customers specific environment. Advanced knowledge of monitoring tools and its configuration. Advanced knowledge of Microsoft integration product. Problem management, Change designs. Participation in standard onboarding projects and CAB meetings with customers. ",Expert knowledge of Microsoft integration technologies and Linux platform. Advanced knowledge of scripting. Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.,"Expert knowledge of Microsoft integration technologies. Advanced knowledge of scripting. Technical lead for non standard requests and customer projects. Product design. Presales consultancy. Help with RFI, RFP. ","Expert knowledge of IBM integration technologies. Advanced knowledge of scripting and programming. Technical lead for non standard requests and customer projects. Product design. Presales consultancy. Help with RFI, RFP. 10 years of experience. ",,,,,,,,
Database & Midleware,Integrations ,Integration Technical Specialist ,WSO2,,NA,User knowledge of WSO2 integrations technologies and monitored products. Understand what WSO2 integrations technologies shows to be able handle tickets accordingly.,"Intermediate knowledge (working on his own) of IBM integrations technologies and monitored products. Active ussage of the technologies. Certifications (IIB, MQ) ","Expert knowledge of WSO2 integrations technologies and strong understanding of customers specifics environment. Advanced knowledge of WSO2 integration product. Problem management, Change designs. Participation in standard onboarding projects and CAB meetings with customers. ","Technical Lead in particular technology with project leading backround. Programming knowledge (Python). Automation tools knowledge. Expert knowledge of WSO2 integrations technologies and strong understanding of customers specific environment. Advanced knowledge of monitoring tools and its configuration. Advanced knowledge of WSO2 integration product. Problem management, Change designs. Participation in standard onboarding projects and CAB meetings with customers. ",Expert knowledge of WSO2 integration technologies and Linux platform. Advanced knowledge of scripting. Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.,"Expert knowledge of WSO2 integration technologies. Advanced knowledge of scripting. Technical lead for non standard requests and customer projects. Product design. Presales consultancy. Help with RFI, RFP. ","Expert knowledge of IBM integration technologies. Advanced knowledge of scripting and programming. Technical lead for non standard requests and customer projects. Product design. Presales consultancy. Help with RFI, RFP. 10 years of experience. ",,,,,,,,
Database & Midleware,Integrations ,Integration Technical Specialist ,RedHat ,,NA,User knowledge of RedHat integrations technologies and monitored products. Understand what RedHat integrations technologies shows to be able handle tickets accordingly.,Intermediate knowledge (working on his own) of RedHat integrations technologies and monitored products. Active ussage of the technologies.�,"Expert knowledge of RedHat integrations technologies and strong understanding of customers specifics environment. Advanced knowledge of RedHat integration product. Problem management, Change designs. Participation in standard onboarding projects and CAB meetings with customers. ","Technical Lead in particular technology with project leading backround. Programming knowledge (Python). Automation tools knowledge. Expert knowledge of RedHat integrations technologies and strong understanding of customers specific environment. Advanced knowledge of monitoring tools and its configuration. Advanced knowledge of RedHat integration product. Problem management, Change designs. Participation in standard onboarding projects and CAB meetings with customers. ",Expert knowledge of RedHat integration technologies and Linux platform. Advanced knowledge of scripting. Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.,"Expert knowledge of RedHat integration technologies. Advanced knowledge of scripting. Technical lead for non standard requests and customer projects. Product design. Presales consultancy. Help with RFI, RFP. ","Expert knowledge of RedHat integration technologies. Advanced knowledge of scripting and programming. Technical lead for non standard requests and customer projects. Product design. Presales consultancy. Help with RFI, RFP. 10 years of experience. ",,,,,,,,
EUS,Exchange,Specialist Exchange Operations,Private Cloud Exchange,"MS Exchange 2013, 2016, 2019","understand the basics, ability to solve issue based on KB","TS1 + deeper understanding , basic knowledge of AD, troubleshooting skills, basic knowledge of Windows Server, ability to use ECP for administration","TS2 + advanced understanding,  ability to use Exchange Powershell cmdlets, basic knowledge of VM platform, basic understanding of monitoring, ability to read log files (IIS, SMTP, OWA, EWS, ..), ability to read Event Log, ability to use Backup software","TS3 + deeper understanding,  ability to create Powershell scripts, ability to use AD Powershell cmdlets, advanced troubleshooting, advanced knowledge of VM platform, �Is able to proactively work and solve problems
","TS4 + analytics management, Deep knowledge of one or several areas of expertise. Can suggest new solutions and improve existing systems. Backup of Architect. Ability to use EWS.","TS5 + Excellent verbal and written skills, including the ability to communicate effectively and work with others in a team environment. 
Excellent analytical skills and the ability to troubleshoot and resolve software problems�
Ability to make decisions and manage your time effectively to a delivery plan/schedule�
Ability to work independently, but also be part of a team
Intermediate level of ITIL",,,,,,,,,,
EUS,Exchange,Specialist Exchange Operations,Exchange Online,O365 Exchange Online,"understand the basics, ability to solve issue based on KB ","TS1 + deeper understanding, basic knowledge of AD / Azure AD, troubleshooting skills, basic knowledge of Windows Server, ability to use ECP for administration","TS2 + advanced understanding, basic knowledge of VM platform, basic understanding of monitoring, ability to use Exchange Online Powershell cmdlets, basic knowledge of ADFS, Directory Synchronization, basic knowledge of Exchange Online Protection","TS3 + deeper understanding,  ability to create Powershell scripts, �ability to use MS Online + AzureAD Powershell cmdlets, advanced troubleshooting, advanced knowledge of VM platform,� Is able to proactively work and solve problems
","TS4 + analytics management, Deep knowledge of one or several areas of expertise. Can  suggest new solutions and improve existing systems. Backup of Architect. Ability to use EWS and Graph API","TS5 + Excellent verbal and written skills, including the ability to communicate effectively and work with others in a team environment. 
Excellent analytical skills and the ability to troubleshoot and resolve software problems�
Ability to make decisions and manage your time effectively to a delivery plan/schedule�
Ability to work independently, but also be part of a team
Intermediate level of ITIL",,,,,,,,,,
EUS,Exchange,Specialist Exchange Operations,E-mail Antispam,"Symantec, FuseMail, TrendMicro","understand the basics, ability to solve issue based on KB ","TS1 + deeper understanding, message tracking ","TS2 + advanced understanding, knowledge of email routing, understanding of DNS records - SPF, DKIM, DMARC, PTR and their role in messaging, message header analysis, ability to create content filtering rules based on message header information","TS3 + deeper understanding, advanced troubleshooting, advanced knowledge of VM platform, administration via SSH and command line","TS4 + analytics management, Deep knowledge of one or several areas of expertise. Can  suggest new solutions and improve existing systems. Backup of Architect","TS5 + Excellent verbal and written skills, including the ability to communicate effectively and work with others in a team environment. 
Excellent analytical skills and the ability to troubleshoot and resolve software problems�
Ability to make decisions and manage your time effectively to a delivery plan/schedule�
Ability to work independently, but also be part of a team
Intermediate level of ITIL",,,,,,,,,,
EUS,Exchange,Specialist Exchange Operations,Secure Email,Deltagon,"understand the basics, ability to solve issue based on KB ",deeper understanding ,TS2 + advanced understanding,"TS3 + expert understanding,  advanced troubleshooting,","TS4 + analytics management, Deep knowledge of one or several areas of expertise. Can  suggest new solutions and improve existing systems. Backup of Architect","TS5 + Excellent verbal and written skills, including the ability to communicate effectively and work with others in a team environment. 
Excellent analytical skills and the ability to troubleshoot and resolve software problems�
Ability to make decisions and manage your time effectively to a delivery plan/schedule�
Ability to work independently, but also be part of a team
Intermediate level of ITIL",,,,,,,,,,
EUS,Exchange,Specialist Exchange Operations,Google Apps,Google,"understand the basics, ability to solve issue based on KB ",deeper understanding ,,,,,,,,,,,,,,
E2E Operations,EUS,IBM Notes Operations,IBM,IBM Notes / Domino Application Server management,NA,"Fundamental knowledge of IBM collaboration tools, Windows Server/Linux/IBM iseries. Ticket (requests and monitoring tickets) handling according operational instructions.","Advanced of IBM collaboration tools, Windows Server/Linux/IBM iseries. Fundamental knowledge of Lotus script (Java). Incident management (L3 level), Problem management, Change management. Standard onboarding project participation.","Expert knowledge of IBM collaboration tools, Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Problem management, Change designs. Participation in standard onboarding projects.","Expert knowledge of IBM collaboration tools, Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Problem management, Change designs. Technical lead in standard onboarding projects.","Expert knowledge of IBM collaboration tools, Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.","Expert knowledge of IBM collaboration tools, Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI, RFP and DD.","Expert knowledge of IBM collaboration tools, Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI, RFP and DD.",,,,,,,,
E2E Operations,EUS,IBM Notes Operations,IBM,"IBM Instand Messaging, SameTime",NA,"Fundamental knowledge of IBM collaboration tools, Windows Server/Linux/IBM iseries. Ticket (requests and monitoring tickets) handling according operational instructions.","Advanced of IBM collaboration tools, Windows Server/Linux/IBM iseries. Fundamental knowledge of Lotus script (Java). Incident management (L3 level), Problem management, Change management. Standard onboarding project participation.","Expert knowledge of IBM collaboration tools, Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Problem management, Change designs. Participation in standard onboarding projects.","Expert knowledge of IBM collaboration tools, Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Problem management, Change designs. Technical lead in standard onboarding projects.","Expert knowledge of IBM collaboration tools, Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.","Expert knowledge of IBM collaboration tools, Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI, RFP and DD.","Expert knowledge of IBM collaboration tools, Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI, RFP and DD.",,,,,,,,
E2E Operations,EUS,IBM Notes Operations,IBM,IBM Social Business / IBM Connections,NA,"Fundamental knowledge of IBM collaboration tools, Windows Server/Linux/IBM iseries. Ticket (requests and monitoring tickets) handling according operational instructions.","Advanced of IBM collaboration tools, Windows Server/Linux/IBM iseries. Fundamental knowledge of Lotus script (Java). Incident management (L3 level), Problem management, Change management. Standard onboarding project participation.","Expert knowledge of IBM collaboration tools, Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Problem management, Change designs. Participation in standard onboarding projects.","Expert knowledge of IBM collaboration tools, Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Problem management, Change designs. Technical lead in standard onboarding projects.","Expert knowledge of IBM collaboration tools, Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.","Expert knowledge of IBM collaboration tools, Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI, RFP and DD.","Expert knowledge of IBM collaboration tools, Windows Server/Linux/IBM iseries. Advanced knowledge of Lotus script (Java). Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI, RFP and DD.",,,,,,,,
E2E Operations,EUS,Access Services Operations,Microsoft ,Azure AD/EM+S/O365 identities,NA,Fundamental Azure AD/O365 knowledge. Ticket (requests and monitoring tickets) handling according operational instructions.,"Intermediate Azure AD/O365 knowledge. Independend ticket handling (L2, L3 level).","Advanced Azure AD knowledge. Intermediate knowledge of O365. Basic knowledge of PoweShell. Incident management (L3 level), Problem management, Change management. Standard onboarding project participation.","Expert knowledge of Azure AD. Advanced knowledge of PoweShell. Intermediate knowledge of O365. Problem management, Change designs. Technical lead in standard onboarding projects.",Expert knowledge of Azure AD/O365. Advanced knowledge of PoweShell. Intermediate knowledge of O365. Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.,"Expert knowledge of  Azure AD. Advanced knowledge of PoweShell. Intermediate knowledge of O365. Technical lead in both standard onboarding and custom projects. Active Product design participation. Customer consultancy. Help with RFI, RFP and DD.","Expert knowledge of  Azure AD. Advanced knowledge of PoweShell. Intermediate knowledge of O365. Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI, RFP and DD.",,,,,,,,
E2E Operations,EUS,Access Services Operations,Microsoft ,PKI,NA,Fundamental knowledge of Windows Server and digital certificates. Ticket (requests and monitoring tickets) handling according operational instructions.,"Intermediate knowledge of Windows Server and digital certificates. Independend ticket handling (L2, L3 level).","Advanced knowledge of Windows Server and digital certificates. Basic knowledge of PoweShell. Incident management (L3 level), Problem management, Change management. Standard onboarding project participation.","Expert knowledge of Windows Server and digital certificates. Advanced knowledge of PoweShell. Problem management, Change designs. Technical lead in standard onboarding projects.",Expert knowledge of Windows Server and digital certificates. Advanced knowledge of PoweShell. Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.,"Expert knowledge of Windows Server and digital certificates. Advanced knowledge of PoweShell. Technical lead in both standard onboarding and custom projects. Active Product design participation. Customer consultancy. Help with RFI, RFP and DD.","Expert knowledge of Windows Server and digital certificates. Advanced knowledge of PoweShell. Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI, RFP and DD.",,,,,,,,
E2E Operations,EUS,Access Services Operations,Microsoft ,Direct Access/AlwaysOn VPN,NA,"Fundamental knowledge of Windows Server, MS networking and digital certificates. Ticket (requests and monitoring tickets) handling according operational instructions.","Intermediate knowledge of Windows Server, MS networking and digital certificates. Independend ticket handling (L2, L3 level).","Advanced knowledge of Windows Server, MS networking and digital certificates. Basic knowledge of PoweShell. Incident management (L3 level), Problem management, Change management. Standard onboarding project participation.","Expert knowledge of Windows Server, MS networking and digital certificates. Advanced knowledge of PoweShell. Problem management, Change designs. Technical lead in standard onboarding projects.","Expert knowledge of Windows Server, MS networking and digital certificates. Advanced knowledge of PoweShell. Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.","Expert knowledge of Windows Server, MS networking and digital certificates. Advanced knowledge of PoweShell. Technical lead in both standard onboarding and custom projects. Active Product design participation. Customer consultancy. Help with RFI, RFP and DD.","Expert knowledge of Windows Server, MS networking and digital certificates. Advanced knowledge of PoweShell. Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI, RFP and DD.",,,,,,,,
E2E Operations,EUS,Access Services Operations,Microsoft ,ADFS/ AAD Connect,NA,Fundamental Windows server/Azure AD/O365 knowledge. Ticket (requests and monitoring tickets) handling according operational instructions.,"Intermediate Windows server/Azure AD/O365 knowledge. Independend ticket handling (L2, L3 level).","Advanced Windows server/Azure AD/O365 knowledge. Basic knowledge of PoweShell. Incident management (L3 level), Problem management, Change management. Standard onboarding project participation.","Expert knowledge of Windows server/Azure AD/O365. Advanced knowledge of PoweShell. Problem management, Change designs. Technical lead in standard onboarding projects.",Expert knowledge of Windows server/Azure AD/O365. Advanced knowledge of PoweShell. Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.,"Expert knowledge of Windows server/Azure AD/O365. Advanced knowledge of PoweShell. Technical lead in both standard onboarding and custom projects. Active Product design participation. Customer consultancy. Help with RFI, RFP and DD.","Expert knowledge of Windows server/Azure AD/O365. Advanced knowledge of PoweShell. Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI, RFP and DD.",,,,,,,,
E2E Operations,EUS,Access Services Operations,Microsoft ,Network Policy Service,NA,"Fundamental knowledge of Windows Server, MS networking and digital certificates. Ticket (requests and monitoring tickets) handling according operational instructions.","Intermediate knowledge of Windows Server, MS networking and digital certificates. Independend ticket handling (L2, L3 level).","Advanced knowledge of Windows Server, MS networking and digital certificates. Incident management (L3 level), Problem management, Change management. Standard onboarding project participation.","Expert knowledge of Windows Server, MS networking and digital certificates. Problem management, Change designs. Technical lead in standard onboarding projects.","Expert knowledge of Windows Server, MS networking and digital certificates. Technical lead in standard onboarding projects and participation in custom projects. Close cooperation with Product management.","Expert knowledge of Windows Server, MS networking and digital certificates. Technical lead in both standard onboarding and custom projects. Active Product design participation. Customer consultancy. Help with RFI, RFP and DD.","Expert knowledge of Windows Server, MS networking and digital certificates. Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI, RFP and DD.",,,,,,,,
E2E Operations,EUS,UCC Operations,Microsoft ,Skype for Business,NA,"Basic knowledge of Windows server, Skype for Business. Ticket (requests and monitoring tickets) handling according operational instructions.","Intermediate knowledge of Windows server, network and Skype for Business. Basic knowledge of PowerSchell. Independend ticket handling (L2, L3 level). Change implementation.","Advanced knowledge of Windows server, Skype for Business and VoIP. Intermediate knowledge of Powershell and network.. Incident management (L3 level), Problem management, Change design and implementation. Standard onboarding project participation.","Expert knowledge of Skype for Business and VoIP. Advanced knowledge of PowerShell, network and Windows server. Problem management, Change designs. Technical lead in standard onboarding projects.","Expert knowledge of Skype for Business and VoIP. Advanced knowledge od PowerShell, network and Windows server. Technical lead in standard onboarding projects. Participation in Product design phase.","Expert knowledge of Skype for Business and VoIP. Advanced knowledge od PowerShell, network and Windows server. Technical lead in standard onboarding projects. Active Product design participation. Customer consultancy. Help with RFI, RFP and DD.","Expert knowledge of Skype for Business and VoIP. Advanced knowledge od PowerShell, network and Windows server. Technical lead for non standard requests and customer projects. Product design. Presales consultancy.  Help with RFI, RFP and DD.",,,,,,,,
