	Cloud and Capacity	Vmware stack 	VMware Cloud Technical specialist		Virtualization 	understand the basics (Gareth intro) 	knowledge based on Vmware Vsphere ICM training 	VCP (knowledge and certifications/contract) 	"knows the difference between Virtualization Hypervisors (Vmware, Hyper V, OpenStack) "									
	Connectivity 	Connectivity 	Network Technical Specialist 	Services	DHCP.Network	basic	intermediate	intermediate	advanced	expert	advanced	expert	expert	basic	basic	basic	basic	basic
	Connectivity 	Connectivity 	Network Technical Specialist 	Services	NTP	basic	intermediate	intermediate	advanced	expert	advanced	expert	expert	basic	basic	basic	basic	basic
	Connectivity 	Connectivity 	Network Technical Specialist 	SDN/Cloud	CISCO	not applicable	basic	intermediate	advanced	expert	advanced	expert	expert	not applicable	not applicable	not applicable	not applicable	not applicable
	Connectivity 	Connectivity 	Network Technical Specialist 	SDN/Cloud	Juniper	not applicable	basic	intermediate	advanced	expert	advanced	expert	expert	not applicable	not applicable	not applicable	not applicable	not applicable
	Connectivity 	Connectivity 	Network Technical Specialist 	SDN/Cloud	VMWare.NSX	not applicable	basic	intermediate	advanced	expert	advanced	expert	expert	not applicable	not applicable	not applicable	not applicable	not applicable
	Connectivity 	Connectivity 	Network Technical Specialist 	SDN/Cloud	OpenStack	not applicable	basic	intermediate	advanced	expert	advanced	expert	expert	not applicable	not applicable	not applicable	not applicable	not applicable
	Connectivity 	Connectivity 	Network Technical Specialist 	SDN/Cloud	Microsoft	not applicable	basic	intermediate	advanced	expert	advanced	expert	expert	not applicable	not applicable	not applicable	not applicable	not applicable
	Connectivity 	Connectivity 	Network Technical Specialist 	Development	HTML	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	basic	intermediate	intermediate	advanced	expert
	Connectivity 	Connectivity 	Network Technical Specialist 	Development	CSS	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	basic	intermediate	intermediate	advanced	expert
	Connectivity 	Connectivity 	Network Technical Specialist 	Development	JavaScript	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	basic	intermediate	intermediate	advanced	expert
	Connectivity 	Connectivity 	Network Technical Specialist 	Development	XML	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	basic	intermediate	intermediate	advanced	expert
	Connectivity 	Connectivity 	Network Technical Specialist 	Development	Rest API	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	basic	intermediate	intermediate	advanced	expert
	Connectivity 	Connectivity 	Network Technical Specialist 	Development	Python	not applicable	not applicable	not applicable	not applicable	not applicable	basic	intermediate	advanced	basic	intermediate	advanced	advanced	expert
	Connectivity 	Connectivity 	Network Technical Specialist 	Development	PHP	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	basic	intermediate	intermediate	advanced	expert
	Connectivity 	Connectivity 	Network Technical Specialist 	Development	Nette	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	basic	intermediate	intermediate	advanced	expert
	Connectivity 	Connectivity 	Network Technical Specialist 	Development	Java	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	basic	intermediate	intermediate	advanced	expert
	Connectivity 	Connectivity 	Network Technical Specialist 	Database	MS SQL	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	basic	intermediate	advanced	expert	expert
	Connectivity 	Connectivity 	Network Technical Specialist 	Database	Elastic Search	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	basic	intermediate	intermediate	advanced	expert
	Connectivity 	Connectivity 	Network Technical Specialist 	Database	MySQL	not applicable	not applicable	not applicable	not applicable	not applicable	basic	intermediate	advanced	basic	intermediate	advanced	expert	expert
	Connectivity 	Connectivity 	Network Technical Specialist 	Platform	TNM	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	basic	intermediate	advanced	advanced	expert
	Connectivity 	Connectivity 	Network Technical Specialist 	Platform	Service Now	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	basic	intermediate	intermediate	advanced	expert
	Connectivity 	Connectivity 	Network Technical Specialist 	Tools	NNMi	not applicable	intermediate	intermediate	advanced	expert	advanced	expert	expert	basic	basic	basic	basic	basic
	Connectivity 	Connectivity 	Network Technical Specialist 	Tools	HPNA	not applicable	not applicable	not applicable	not applicable	basic	basic	intermediate	advanced	basic	basic	basic	basic	basic
	Connectivity 	Connectivity 	Network Technical Specialist 	Tools	TNM	not applicable	basic	intermediate	intermediate	advanced	intermediate	advanced	advanced	basic	basic	basic	basic	basic
	Connectivity 	Connectivity 	Network Technical Specialist 	Tools	Algosec	not applicable	basic	intermediate	intermediate	advanced	intermediate	advanced	expert	basic	basic	basic	basic	basic
	Connectivity 	Connectivity 	Network Technical Specialist 	Tools	IPAM	not applicable	basic	intermediate	intermediate	advanced	intermediate	advanced	advanced	basic	basic	basic	basic	basic
	Connectivity 	Connectivity 	Network Technical Specialist 	Tools	Clear Pass	not applicable	not applicable	basic	intermediate	intermediate	intermediate	intermediate	advanced	not applicable	not applicable	not applicable	not applicable	not applicable
	Connectivity 	Connectivity 	Network Technical Specialist 	Tools	CISCO Prime	not applicable	not applicable	basic	intermediate	intermediate	intermediate	intermediate	advanced	not applicable	not applicable	not applicable	not applicable	not applicable
	Connectivity 	Connectivity 	Network Technical Specialist 	Tools	UCSD	not applicable	basic	basic	intermediate	intermediate	intermediate	advanced	expert	basic	basic	basic	basic	basic
	Connectivity 	Connectivity 	Network Technical Specialist 	Tools	NSO	not applicable	basic	basic	intermediate	intermediate	intermediate	advanced	expert	basic	basic	basic	basic	basic
	Connectivity 	Connectivity 	Network Technical Specialist 	Tools	DNS	basic	intermediate	intermediate	advanced	expert	advanced	expert	expert	basic	basic	basic	basic	basic
	Connectivity 	Connectivity 	Network Technical Specialist 	Tools	DHCP	basic	intermediate	intermediate	advanced	expert	advanced	expert	expert	basic	basic	basic	basic	basic
	DC OOps On-Shore	DC Ops On-Shore	Data Centers Technical Specialist	Open Storage On-Site 	"Netapp, Hitachi, EMC, Cisco "	not applicable	not applicable	not applicable	not applicable	not applicable	"Planing/perform/participate on upgrade/maintenance  
Understanding and implementation of name services: NIS, LDAP, DNS
Setup and implement netapp monitoring
Usage of netapp tools : Latx,  Interoperability Matrix Tool, Syslog translator, Active IQ
able to perform basic troubleshooting  and collect logs from Netapp, brocade, atto bridge 
Understanding and usage of perfstat & packet trace
Administration of Snapcreator"	not applicable	not applicable					
	DC OOps On-Shore	DC Ops On-Shore	Data Centers Technical Specialist	DC Facility Specialists 	DC Facility Specialists 	not applicable	not applicable	"electricians, advanced - can work independently etc. "		not applicable	not applicable	not applicable	not applicable					
	DC OOps On-Shore	DC Ops On-Shore	Technical Specialist X.86 physical hw	DC Facility Specialists 	"HP, Dell X.86 physical hw"	not applicable	not applicable	not applicable	Independently reponsible of all X.86 related physical work in DCs	not applicable	not applicable	not applicable	not applicable					
	App & Midleware	EDM	Specialist ERP archiving	Opentext 	SAP Data archiving	"Basic knowledge, ability to solve issue based on KB"	TS1 + deeper understanding of the application technology and customers' environment.	"TS2 + advanced understanding of the application technology, integrations and customer's business"	"TS3 + advanced understanding of the application technology, integrations and customer's business. Ability to design and implement environments, perform upgrades and other possible changes. "	TS4 + Deep knowledge of one or several areas of expertise. Can suggest new solutions and improve existing systems. Backup of Architect. 	"TS5 + Excellent verbal and written skills, including the ability to communicate effectively and work with others in a team environment. 
Excellent analytical skills and the ability to troubleshoot and resolve software problems 
Ability to make decisions and manage your time effectively to a delivery plan/schedule 
Ability to work independently, but also be part of a team
Intermediate level of ITIL"	"SA1 + Excellent verbal and written skills, including the ability to communicate effectively and work with others in a team environment. 
Excellent analytical skills and the ability to troubleshoot and resolve software problems 
Ability to make decisions and manage your time effectively to a delivery plan/schedule 
Ability to work independently, but also be part of a team
Intermediate level of ITIL
Participates in modeling and documenting  technical platform architecture in a specific service area. Participates in planning of implementation details. "	"SA2 + 
Designs technical platform architecture in a specific service area. Verifies the co-operation of technical architecture components and processes. 
Provides pre-sales support. "	"SA3 + 
Participates in evaluation and investigation of service area specific technical platform products including tools, hardware and  software related to the service. Audits service area specific architecture. May organize and leads the work of technical architecture team in international projects. Provides pre-sales support. "	"SA4 +
Responsible for evaluation and investigation of service area specific technical  platform products including tools, hardware and  software related to the service. Audits service area specific architecture. May organizes and leads the work of one or more technical architecture team(s) in international projects. 
May be responsible for guidelines and strategies within a specified area. Provides pre-sales support. "			
	App & Midleware	EDM	Specialist ERP archiving	Opentext 	Doculink customization	"Basic knowledge, ability to solve issue based on KB"	TS1 + deeper understanding of the application technology and customers' environment.	"TS2 + advanced understanding of the application technology, integrations and customer's business"	"TS3 + advanced understanding of the application technology, integrations and customer's business. Ability to design and implement environments, perform upgrades and other possible changes. "	TS4 + Deep knowledge of one or several areas of expertise. Can suggest new solutions and improve existing systems. Backup of Architect. 	"TS5 + Excellent verbal and written skills, including the ability to communicate effectively and work with others in a team environment. 
Excellent analytical skills and the ability to troubleshoot and resolve software problems 
Ability to make decisions and manage your time effectively to a delivery plan/schedule 
Ability to work independently, but also be part of a team
Intermediate level of ITIL"	"SA1 + Excellent verbal and written skills, including the ability to communicate effectively and work with others in a team environment. 
Excellent analytical skills and the ability to troubleshoot and resolve software problems 
Ability to make decisions and manage your time effectively to a delivery plan/schedule 
Ability to work independently, but also be part of a team
Intermediate level of ITIL
Participates in modeling and documenting  technical platform architecture in a specific service area. Participates in planning of implementation details. "	"SA2 + 
Designs technical platform architecture in a specific service area. Verifies the co-operation of technical architecture components and processes. 
Provides pre-sales support. "	"SA3 + 
Participates in evaluation and investigation of service area specific technical platform products including tools, hardware and  software related to the service. Audits service area specific architecture. May organize and leads the work of technical architecture team in international projects. Provides pre-sales support. "	"SA4 +
Responsible for evaluation and investigation of service area specific technical  platform products including tools, hardware and  software related to the service. Audits service area specific architecture. May organizes and leads the work of one or more technical architecture team(s) in international projects. 
May be responsible for guidelines and strategies within a specified area. Provides pre-sales support. "			
